sample_id,dataset_id,original_recording_id,class,segment_index,duration,sample_rate,channels,processed_path,quality_status,event_id,platform_id,cartridge_id,mic_id,fsc22_class_name,event_interval_id,interval_start,interval_end,esc50_category
c3gd_16-oh_farm-7mm_Mauser-ALICE-chv3xlV_eY8m-7_0000,c3gd,c3gd_oh_farm_16-oh_farm-7mm_Mauser-ALICE-chv3xlV_eY8m-7,gunshot,0,1.0,16000,1,datasets/processed/c3gd_16-oh_farm-7mm_Mauser-ALICE-chv3xlV_eY8m-7_0000.wav,OK,oh_farm,7mm_Mauser,ppu_rl_757m_139,ALICE,,,,,
c3gd_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3_0000.wav,OK,nj_farm_2,sw_mp_fpc_compliant,gdc_135gr_hp,bluebell_DOM2,,,,,
c3gd_17-oh_farm-sig_P320-DAVE-RnHmQd98noYs-11_0000,c3gd,c3gd_oh_farm_17-oh_farm-sig_P320-DAVE-RnHmQd98noYs-11,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-oh_farm-sig_P320-DAVE-RnHmQd98noYs-11_0000.wav,OK,oh_farm,sig_P320,,DAVE,,,,,
c3gd_2-oh_farm-custom_ar15_300BLK_rb-DAVE-i1jOY9VPtkkU-20_0000,c3gd,c3gd_oh_farm_2-oh_farm-custom_ar15_300BLK_rb-DAVE-i1jOY9VPtkkU-20,gunshot,0,1.0,16000,1,datasets/processed/c3gd_2-oh_farm-custom_ar15_300BLK_rb-DAVE-i1jOY9VPtkkU-20_0000.wav,OK,oh_farm,custom_ar15_300BLK_rb,winchester_ss_300BLK_200,DAVE,,,,,
c3gd_13-nj_farm-savage_mh110-DAVE-3fPPqTzCQ_WZ-8_0000,c3gd,c3gd_nj_farm_13-nj_farm-savage_mh110-DAVE-3fPPqTzCQ_WZ-8,gunshot,0,1.0,16000,1,datasets/processed/c3gd_13-nj_farm-savage_mh110-DAVE-3fPPqTzCQ_WZ-8_0000.wav,OK,nj_farm,savage_mh110,sb_ta_65CD_140,DAVE,,,,,
c3gd_17-oh_farm-steyr_C9A2-PIXEL-OPs0rOimSBOE-8_0000,c3gd,c3gd_oh_farm_17-oh_farm-steyr_C9A2-PIXEL-OPs0rOimSBOE-8,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-oh_farm-steyr_C9A2-PIXEL-OPs0rOimSBOE-8_0000.wav,OK,oh_farm,steyr_C9A2,blazer_9mm_147,PIXEL,,,,,
c3gd_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5_0000.wav,OK,nj_farm_2,sig_p365,ammo_inc_115gr_tmc,lilypad_DOM2,,,,,
c3gd_17-oh_farm-hk_P30L-DAVE-_CvE5CZTyzuQ-2_0000,c3gd,c3gd_oh_farm_17-oh_farm-hk_P30L-DAVE-_CvE5CZTyzuQ-2,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-oh_farm-hk_P30L-DAVE-_CvE5CZTyzuQ-2_0000.wav,OK,oh_farm,hk_P30L,,DAVE,,,,,
c3gd_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23_0000,c3gd,c3gd_ny_gravel_pit_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23,gunshot,0,1.0,16000,1,datasets/processed/c3gd_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23_0000.wav,OK,ny_gravel_pit,stevens_770,remington_gl_16g_75s,BOB,,,,,
c3gd_17-nj_farm_2-sig_p226_legion-lilypad_DOM2-3qq3r3ac4nkr_24-2_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p226_legion-lilypad_DOM2-3qq3r3ac4nkr_24-2,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p226_legion-lilypad_DOM2-3qq3r3ac4nkr_24-2_0000.wav,OK,nj_farm_2,sig_p226_legion,ammo_inc_115gr_tmc,lilypad_DOM2,,,,,
