sample_id,dataset_id,original_recording_id,class,segment_index,duration,sample_rate,channels,processed_path,quality_status,event_id,platform_id,cartridge_id,mic_id,fsc22_class_name,event_interval_id,interval_start,interval_end,esc50_category
c3gd_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sw_mp_fpc_compliant-bluebell_DOM2-g0lloh71ako8_39-3_0000.wav,OK,nj_farm_2,sw_mp_fpc_compliant,gdc_135gr_hp,bluebell_DOM2,,,,,
c3gd_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p365-lilypad_DOM2-h0a15a3bcfjs_20-5_0000.wav,OK,nj_farm_2,sig_p365,ammo_inc_115gr_tmc,lilypad_DOM2,,,,,
c3gd_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23_0000,c3gd,c3gd_ny_gravel_pit_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23,gunshot,0,1.0,16000,1,datasets/processed/c3gd_8-ny_gravel_pit-stevens_770-BOB-A_k1axuHhRT1-23_0000.wav,OK,ny_gravel_pit,stevens_770,remington_gl_16g_75s,BOB,,,,,
c3gd_2-nj_farm_2-ar_15-bluebell_DOM2-kghnh22m1enr_6-4_0000,c3gd,c3gd_nj_farm_2_2-nj_farm_2-ar_15-bluebell_DOM2-kghnh22m1enr_6-4,gunshot,0,1.0,16000,1,datasets/processed/c3gd_2-nj_farm_2-ar_15-bluebell_DOM2-kghnh22m1enr_6-4_0000.wav,OK,nj_farm_2,ar_15,xtreme_147gr,bluebell_DOM2,,,,,
c3gd_4-ny_gravel_pit-ruger_lcp_380ACP-ERIN-7WYYO4zK0hPS-10_0000,c3gd,c3gd_ny_gravel_pit_4-ny_gravel_pit-ruger_lcp_380ACP-ERIN-7WYYO4zK0hPS-10,gunshot,0,1.0,16000,1,datasets/processed/c3gd_4-ny_gravel_pit-ruger_lcp_380ACP-ERIN-7WYYO4zK0hPS-10_0000.wav,OK,ny_gravel_pit,ruger_lcp_380ACP,remington_umv_380ACP_XX,ERIN,,,,,
c3gd_14-nj_farm_2-ak_47-lilypad_DOM2-h0a15a3bcfjs_2-1_0000,c3gd,c3gd_nj_farm_2_14-nj_farm_2-ak_47-lilypad_DOM2-h0a15a3bcfjs_2-1,gunshot,0,1.0,16000,1,datasets/processed/c3gd_14-nj_farm_2-ak_47-lilypad_DOM2-h0a15a3bcfjs_2-1_0000.wav,OK,nj_farm_2,ak_47,tela_124gr_fmj,lilypad_DOM2,,,,,
c3gd_17-nj_farm_2-sig_p226_legion-calla_AKG-4fjlchfg107s_20-8_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p226_legion-calla_AKG-4fjlchfg107s_20-8,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p226_legion-calla_AKG-4fjlchfg107s_20-8_0000.wav,OK,nj_farm_2,sig_p226_legion,ammo_inc_115gr_tmc,calla_AKG,,,,,
c3gd_3-nj_farm_2-tauros_856-calla_DOM2-nt040957mble_15-3_0000,c3gd,c3gd_nj_farm_2_3-nj_farm_2-tauros_856-calla_DOM2-nt040957mble_15-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_3-nj_farm_2-tauros_856-calla_DOM2-nt040957mble_15-3_0000.wav,OK,nj_farm_2,tauros_856,hand_load_148gr,calla_DOM2,,,,,
c3gd_1-nj_farm_2-radical_ar15_upper-calla_DOM2-4fjlchfg107s_11-4_0000,c3gd,c3gd_nj_farm_2_1-nj_farm_2-radical_ar15_upper-calla_DOM2-4fjlchfg107s_11-4,gunshot,0,1.0,16000,1,datasets/processed/c3gd_1-nj_farm_2-radical_ar15_upper-calla_DOM2-4fjlchfg107s_11-4_0000.wav,OK,nj_farm_2,radical_ar15_upper,hornady_vmax_223_53gr,calla_DOM2,,,,,
c3gd_17-nj_farm_2-sw_mp_fpc_compliant-calla_DOM2-4fjlchfg107s_19-3_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sw_mp_fpc_compliant-calla_DOM2-4fjlchfg107s_19-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sw_mp_fpc_compliant-calla_DOM2-4fjlchfg107s_19-3_0000.wav,OK,nj_farm_2,sw_mp_fpc_compliant,ammo_inc_115gr_tmc,calla_DOM2,,,,,
c3gd_17-nj_farm_2-sw_mp_fpc_compliant-calla_AKG-4fjlchfg107s_45-6_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sw_mp_fpc_compliant-calla_AKG-4fjlchfg107s_45-6,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sw_mp_fpc_compliant-calla_AKG-4fjlchfg107s_45-6_0000.wav,OK,nj_farm_2,sw_mp_fpc_compliant,hornady_crit_duty_135gr_flex,calla_AKG,,,,,
c3gd_1-nj_farm_2-radical_ar15_upper-lilypad_DOM2-3qq3r3ac4nkr_11-15_0000,c3gd,c3gd_nj_farm_2_1-nj_farm_2-radical_ar15_upper-lilypad_DOM2-3qq3r3ac4nkr_11-15,gunshot,0,1.0,16000,1,datasets/processed/c3gd_1-nj_farm_2-radical_ar15_upper-lilypad_DOM2-3qq3r3ac4nkr_11-15_0000.wav,OK,nj_farm_2,radical_ar15_upper,hornady_vmax_223_53gr,lilypad_DOM2,,,,,
c3gd_12-nj_farm_2-aero_upper-lilypad_SAMSON-3qq3r3ac4nkr_15-6_0000,c3gd,c3gd_nj_farm_2_12-nj_farm_2-aero_upper-lilypad_SAMSON-3qq3r3ac4nkr_15-6,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-nj_farm_2-aero_upper-lilypad_SAMSON-3qq3r3ac4nkr_15-6_0000.wav,OK,nj_farm_2,aero_upper,hornady_frontier_556_55gr,lilypad_SAMSON,,,,,
c3gd_1-ny_gravel_pit-savage_223-DAVE-cyc89NHUIDHi-18_0000,c3gd,c3gd_ny_gravel_pit_1-ny_gravel_pit-savage_223-DAVE-cyc89NHUIDHi-18,gunshot,0,1.0,16000,1,datasets/processed/c3gd_1-ny_gravel_pit-savage_223-DAVE-cyc89NHUIDHi-18_0000.wav,OK,ny_gravel_pit,savage_223,hornady_08255_223rem_55,DAVE,,,,,
c3gd_14-nj_farm_2-ak_47-calla_DOM2-ej9r8nso782o_0-3_0000,c3gd,c3gd_nj_farm_2_14-nj_farm_2-ak_47-calla_DOM2-ej9r8nso782o_0-3,gunshot,0,1.0,16000,1,datasets/processed/c3gd_14-nj_farm_2-ak_47-calla_DOM2-ej9r8nso782o_0-3_0000.wav,OK,nj_farm_2,ak_47,tela_124gr_fmj,calla_DOM2,,,,,
c3gd_17-nj_farm_2-sig_p226_legion-acorn_DOM2-n6bp00eci9dl_21-6_0000,c3gd,c3gd_nj_farm_2_17-nj_farm_2-sig_p226_legion-acorn_DOM2-n6bp00eci9dl_21-6,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm_2-sig_p226_legion-acorn_DOM2-n6bp00eci9dl_21-6_0000.wav,OK,nj_farm_2,sig_p226_legion,ammo_inc_115gr_tmc,acorn_DOM2,,,,,
c3gd_12-nj_farm_2-aero_upper-bluebell_DOM2-g0lloh71ako8_15-18_0000,c3gd,c3gd_nj_farm_2_12-nj_farm_2-aero_upper-bluebell_DOM2-g0lloh71ako8_15-18,gunshot,0,1.0,16000,1,datasets/processed/c3gd_12-nj_farm_2-aero_upper-bluebell_DOM2-g0lloh71ako8_15-18_0000.wav,OK,nj_farm_2,aero_upper,hornady_frontier_556_55gr,bluebell_DOM2,,,,,
c3gd_0-nj_farm_2-sw_victory-lilypad_DOM2-h0a15a3bcfjs_22-14_0000,c3gd,c3gd_nj_farm_2_0-nj_farm_2-sw_victory-lilypad_DOM2-h0a15a3bcfjs_22-14,gunshot,0,1.0,16000,1,datasets/processed/c3gd_0-nj_farm_2-sw_victory-lilypad_DOM2-h0a15a3bcfjs_22-14_0000.wav,OK,nj_farm_2,sw_victory,remington_subsonic_38gr,lilypad_DOM2,,,,,
c3gd_17-nj_farm-sig_p365-ALICE-T3bFUE8iLtXt-35_0000,c3gd,c3gd_nj_farm_17-nj_farm-sig_p365-ALICE-T3bFUE8iLtXt-35,gunshot,0,1.0,16000,1,datasets/processed/c3gd_17-nj_farm-sig_p365-ALICE-T3bFUE8iLtXt-35_0000.wav,OK,nj_farm,sig_p365,federal_ae_9mm_115,ALICE,,,,,
